symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob,trend,momentum,volatility,volume,backtest,risk
M&M,2024-06-04,2024-09-20,2533.84,2927.33,15,15.53,15.3,END_OF_REPLAY,65.0,72.8,100,50,35,60,0,50
ULTRACEMCO,2024-06-04,2024-08-01,9797.72,11465.2,8,17.02,16.71,TARGET_2_GAP,70.9,77.5,98,50,75,65,0,55
SBIN,2024-06-10,2024-09-27,746.49,772.92,15,3.54,3.29,END_OF_REPLAY,69.5,76.4,100,55,35,90,0,38
MARUTI,2024-06-10,2024-09-27,11932.96,13351.1,15,11.88,11.66,END_OF_REPLAY,65.8,68.4,100,55,55,40,0,55
POWERGRID,2024-06-10,2024-09-27,276.96,333.04,15,20.25,19.9,T1_PARTIAL_BE,69.5,76.4,100,55,35,90,0,38
COALINDIA,2024-06-10,2024-09-27,388.53,458.3,15,17.96,17.62,END_OF_REPLAY,66.7,74.2,100,40,40,90,0,38
EICHERMOT,2024-06-10,2024-09-27,4389.22,4997.8,15,13.87,13.55,END_OF_REPLAY,67.5,74.9,100,45,35,85,0,45
HINDALCO,2024-06-10,2024-09-27,640.65,741.71,15,15.77,15.45,END_OF_REPLAY,70.7,77.3,100,55,35,90,0,45
NTPC,2024-06-11,2024-09-27,350.24,419.79,15,19.86,19.51,END_OF_REPLAY,67.2,74.6,100,45,55,70,0,45
GRASIM,2024-06-11,2024-09-27,2438.62,2773.06,15,13.71,13.4,END_OF_REPLAY,76.0,80.8,100,90,35,70,0,50
BAJAJ-AUTO,2024-06-18,2024-09-13,9361.26,11306.85,12,20.78,20.48,TARGET_2,67.8,70.1,100,55,60,43,0,60
HDFCBANK,2024-06-19,2024-10-07,817.87,798.11,15,-2.42,-2.67,END_OF_REPLAY,68.3,72.5,68,65,55,90,0,60
TATASTEEL,2024-06-19,2024-07-25,168.96,151.76,5,-10.18,-10.53,STOP_LOSS_GAP,68.1,70.3,100,75,35,45,0,50
RELIANCE,2024-06-26,2024-10-07,1495.98,1381.57,14,-7.65,-7.9,STOP_LOSS_GAP,71.9,75.2,86,70,75,60,0,60
TECHM,2024-06-26,2024-10-14,1336.33,1585.06,15,18.61,18.3,T1_PARTIAL_BE,69.0,68.1,91,80,60,33,0,60
SHRIRAMFIN,2024-07-02,2024-07-25,581.62,514.2,3,-11.59,-11.96,STOP_LOSS,76.6,81.2,100,82,40,80,0,50
DRREDDY,2024-07-03,2024-10-21,1269.56,1331.04,15,4.84,4.51,END_OF_REPLAY,66.6,71.1,78,55,75,63,0,60
TATACONSUM,2024-07-03,2024-10-21,1128.37,1030.58,15,-8.67,-9.02,STOP_LOSS_GAP,69.8,76.6,98,50,75,65,0,48
SUNPHARMA,2024-07-10,2024-09-27,1568.56,1828.1,11,16.55,16.23,TARGET_2_GAP,65.6,63.3,98,60,75,18,0,60
ONGC,2024-07-10,2024-10-28,268.6,236.64,15,-11.9,-12.3,STOP_LOSS_GAP,73.8,79.5,100,70,55,70,0,50
TCS,2024-07-18,2024-11-04,4022.05,3714.18,15,-7.65,-7.9,STOP_LOSS_GAP,76.0,77.8,86,80,60,80,0,60
HINDUNILVR,2024-07-18,2024-10-28,2657.84,2469.16,14,-7.1,-7.44,STOP_LOSS_GAP,69.2,73.2,83,57,55,80,0,60
TMPV,2024-07-18,2024-10-07,1015.82,933.97,11,-8.06,-8.31,STOP_LOSS_GAP,66.7,64.2,100,70,75,8,0,60
SBILIFE,2024-07-18,2024-10-07,1654.35,1834.47,11,10.89,10.57,TRAIL_STOP,65.1,59.9,86,80,55,23,0,60
DMART,2024-07-24,2024-10-07,5083.45,4651.79,10,-8.49,-8.83,STOP_LOSS,79.8,83.0,100,77,55,85,0,60
INFY,2024-07-25,2024-11-11,1715.32,1768.37,15,3.09,2.85,END_OF_REPLAY,68.8,67.9,85,72,55,55,0,60
BPCL,2024-07-25,2024-11-11,290.88,287.68,15,-1.1,-1.48,END_OF_REPLAY,68.4,70.6,96,65,70,48,0,45
ICICIBANK,2024-07-31,2024-10-07,1178.58,1286.63,9,9.17,8.93,TRAIL_STOP,69.8,68.7,93,70,55,55,0,55
SHRIRAMFIN,2024-07-31,2024-10-07,524.07,648.9,9,23.82,23.5,TRAIL_STOP,67.3,66.7,100,70,40,55,0,38
HCLTECH,2024-08-01,2024-11-04,1529.59,1697.34,13,10.97,10.65,TRAIL_STOP,67.4,66.7,84,75,55,45,0,60
APOLLOHOSP,2024-08-01,2024-11-19,6669.25,6660.08,15,-0.14,-0.46,END_OF_REPLAY,68.1,67.4,70,80,90,43,0,60
HEROMOTOCO,2024-08-01,2024-10-28,5063.61,4647.37,12,-8.22,-8.56,STOP_LOSS,66.0,73.6,100,40,55,60,0,55
ULTRACEMCO,2024-08-07,2024-08-16,11909.01,10970.46,1,-7.88,-8.21,STOP_LOSS_GAP,68.1,70.4,100,67,55,33,0,60
