symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob
DMART,2024-07-25,2024-10-07,5171.35,4777.46,10,-7.62,-7.95,STOP_LOSS,70.3,72.0
BPCL,2024-07-25,2024-11-11,290.88,287.68,15,-1.1,-1.48,END_OF_REPLAY,68.4,70.6
HCLTECH,2024-08-01,2024-11-04,1529.59,1698.1,13,11.02,10.7,TRAIL_STOP,67.4,66.7
JSWSTEEL,2024-08-01,2024-11-19,932.04,944.76,15,1.36,1.03,END_OF_REPLAY,68.8,67.9
APOLLOHOSP,2024-08-01,2024-11-19,6669.25,6660.08,15,-0.14,-0.46,END_OF_REPLAY,68.1,67.4
HEROMOTOCO,2024-08-01,2024-10-28,5063.61,4673.39,12,-7.71,-8.04,STOP_LOSS,66.0,73.6
ITC,2024-08-08,2024-11-19,439.1,416.12,14,-5.23,-5.6,STOP_LOSS,68.6,72.7
BHARTIARTL,2024-08-08,2024-10-07,1439.76,1648.66,8,14.51,14.19,TRAIL_STOP,65.2,67.9
ULTRACEMCO,2024-08-08,2024-11-27,11187.09,11069.73,15,-1.05,-1.37,END_OF_REPLAY,66.3,68.9
HDFCLIFE,2024-08-08,2024-11-27,708.39,678.67,15,-4.2,-4.55,END_OF_REPLAY,66.5,66.1
TRENT,2024-08-16,2024-10-14,6489.06,7989.21,8,23.12,22.82,TARGET_2,71.4,77.8
DIVISLAB,2024-08-16,2024-10-14,4612.9,5534.84,8,19.99,19.68,TARGET_2,66.3,68.9
ICICIBANK,2024-08-30,2024-12-18,1219.79,1304.09,15,6.91,6.58,END_OF_REPLAY,69.4,68.4
BAJAJFINSV,2024-08-30,2024-11-19,1782.18,1643.72,11,-7.77,-8.11,STOP_LOSS,74.0,76.6
BRITANNIA,2024-08-30,2024-11-04,5779.51,5477.78,9,-5.22,-5.55,STOP_LOSS,66.5,69.0
CIPLA,2024-09-06,2024-10-21,1579.21,1487.81,6,-5.79,-6.13,STOP_LOSS,73.1,74.0
BAJFINANCE,2024-09-13,2024-10-21,755.19,700.98,5,-7.18,-7.53,STOP_LOSS,69.7,73.6
KOTAKBANK,2024-09-20,2024-10-07,380.46,357.43,2,-6.05,-6.43,STOP_LOSS,67.6,72.0
LT,2024-09-20,2024-10-07,3722.48,3442.72,2,-7.52,-7.85,STOP_LOSS,72.8,75.8
TITAN,2024-09-20,2024-10-14,3785.81,3528.43,3,-6.8,-7.13,STOP_LOSS,70.6,69.2
BAJAJ-AUTO,2024-09-20,2024-10-21,11484.9,10745.69,4,-6.44,-6.77,STOP_LOSS,77.0,81.5
M&M,2024-09-27,2024-10-21,3158.28,2896.51,3,-8.29,-8.63,STOP_LOSS,72.9,78.8
SUNPHARMA,2024-10-07,2024-11-04,1875.44,1774.52,4,-5.38,-5.72,STOP_LOSS,65.7,68.4
NTPC,2024-10-07,2024-11-19,399.18,363.64,6,-8.9,-9.28,STOP_LOSS,71.7,78.0
HINDALCO,2024-10-07,2024-11-11,725.98,656.77,5,-9.53,-9.89,STOP_LOSS,69.8,68.6
KOTAKBANK,2024-10-14,2024-10-21,381.72,356.96,1,-6.49,-6.86,STOP_LOSS,65.9,70.5
BHARTIARTL,2024-10-14,2024-11-11,1681.54,1557.59,4,-7.37,-7.71,STOP_LOSS,71.7,78.0
SBILIFE,2024-10-14,2024-10-28,1732.59,1601.86,2,-7.55,-7.89,STOP_LOSS,65.2,67.9
TRENT,2024-10-21,2024-11-11,7590.94,6824.0,3,-10.1,-10.44,STOP_LOSS,65.2,73.0
TECHM,2024-10-21,2025-02-05,1638.64,1614.29,15,-1.49,-1.82,END_OF_REPLAY,75.3,80.4
DIVISLAB,2024-10-21,2025-02-05,5898.14,6095.74,15,3.35,3.03,END_OF_REPLAY,67.6,74.9
CIPLA,2024-11-04,2024-11-19,1553.28,1445.83,2,-6.92,-7.26,STOP_LOSS,68.0,72.3
HDFCBANK,2024-11-11,2025-01-09,871.37,818.03,8,-6.12,-6.47,STOP_LOSS,67.3,66.7
HCLTECH,2024-11-19,2025-02-27,1708.54,1579.68,14,-7.54,-7.88,STOP_LOSS,66.3,65.9
M&M,2024-11-19,2025-03-06,2925.45,2720.54,15,-7.0,-7.34,END_OF_REPLAY,65.6,68.3
EICHERMOT,2024-11-19,2025-03-06,4901.89,5029.19,15,2.6,2.27,END_OF_REPLAY,66.9,66.4
INFY,2024-11-27,2025-02-27,1829.59,1695.77,13,-7.31,-7.66,STOP_LOSS,68.9,68.0
APOLLOHOSP,2024-11-27,2025-02-12,6954.69,6420.0,11,-7.69,-8.02,STOP_LOSS,65.2,59.9
SUNPHARMA,2024-12-26,2025-01-30,1812.54,1711.71,5,-5.56,-5.9,STOP_LOSS,68.4,65.6
